taxon;plot_ID;genus;species;cover;height;author;remark
Persicaria vivipara;4-3-B-M;per;viv;+;1;KC_MF;
Leucanthemopsis alpina;4-3-B-M;leu;alp;+;1;KC_MF;
Hieracium sp.;4-3-B-M;hie;spe;+;2;KC_MF;
Avenula versicolor;4-3-B-M;ave;ver;+;3;KC_MF;
Arenaria biflora;4-5-A-C;are;bif;1;1;KC_MF;
Luzula alpino-pilosa;4-5-A-C;luz;alp1;1;6;KC_MF;
Agrostis rupestris;4-5-A-C;agr;rup;2a;4;KC_MF;
Gnaphalium supinum;4-5-A-C;gna;sup;2a;2;KC_MF;
Leucanthemopsis alpina;4-5-A-C;leu;alp;2a;1;KC_MF;
Soldanella pusilla;4-5-A-C;sol;pus;2b;1;KC_MF;
Carex curvula subsp. curvula;4-5-A-C;car;cur;+;4;KC_MF;
Euphrasia minima;4-5-A-C;eup;min;+;4;KC_MF;
Sedum alpestre;4-5-A-C;sed;alp;+;1;KC_MF;
Poa laxa;4-5-A-C;poa;lax;+;4;KC_MF;
Cardamine resedifolia;4-5-A-C;car;res;+;1;KC_MF;
Salix herbacea;4-5-A-C;sal;her;1;2;KC_MF;
Phyteuma hemisphaericum;4-5-A-C;phy;hem;+;3;KC_MF;
Deschampsia cespitosa subsp. cespitosa;4-5-A-C;des;ces;1;4;KC_MF;
Gnaphalium supinum;4-5-A-M;gna;sup;1;1;KC_MF;
Agrostis rupestris;4-5-A-M;agr;rup;2b;3;KC_MF;
Poa laxa;4-5-A-M;poa;lax;+;4;KC_MF;
Luzula alpino-pilosa;4-5-A-M;luz;alp1;1;4;KC_MF;
Carex curvula subsp. curvula;4-5-A-M;car;cur;1;6;KC_MF;
Soldanella pusilla;4-5-A-M;sol;pus;2a;1;KC_MF;
Arenaria biflora;4-5-A-M;are;bif;1;1;KC_MF;
Salix herbacea;4-5-A-M;sal;her;2a;1;KC_MF;
Cerastium cerastoides;4-5-A-M;cer;cer;+;2;KC_MF;
Sedum alpestre;4-5-A-M;sed;alp;+;1;KC_MF;
Euphrasia minima;4-5-A-M;eup;min;+;4;KC_MF;
Leucanthemopsis alpina;4-5-A-M;leu;alp;1;1;KC_MF;
Carex curvula subsp. curvula;4-5-B-C;car;cur;1;5;KC_MF;
Agrostis rupestris;4-5-B-C;agr;rup;2a;3;KC_MF;
Soldanella pusilla;4-5-B-C;sol;pus;2b;1;KC_MF;
Gnaphalium supinum;4-5-B-C;gna;sup;1;1;KC_MF;
Sedum alpestre;4-5-B-C;sed;alp;+;1;KC_MF;
Leucanthemopsis alpina;4-5-B-C;leu;alp;+;1;KC_MF;
Luzula alpino-pilosa;4-5-B-C;luz;alp1;+;7;KC_MF;
Salix herbacea;4-5-B-C;sal;her;1;2;KC_MF;
Deschampsia cespitosa subsp. cespitosa;4-5-B-C;des;ces;1;6;KC_MF;
Phyteuma hemisphaericum;4-5-B-C;phy;hem;+;2;KC_MF;
Arenaria biflora;4-5-B-C;are;bif;+;1;KC_MF;
Poa laxa;4-5-B-C;poa;lax;+;3;KC_MF;
Gnaphalium supinum;4-5-B-M;gna;sup;2a;2;KC_MF;
Carex curvula subsp. curvula;4-5-B-M;car;cur;+;3;KC_MF;
Agrostis rupestris;4-5-B-M;agr;rup;2a;2;KC_MF;
Deschampsia cespitosa subsp. cespitosa;4-5-B-M;des;ces;2a;3;KC_MF;
Arenaria biflora;4-5-B-M;are;bif;2a;1;KC_MF;
Sedum alpestre;4-5-B-M;sed;alp;+;1;KC_MF;
Sibbaldia procumbens;4-5-B-M;sib;pro;r;1;KC_MF;
Phyteuma hemisphaericum;4-5-B-M;phy;hem;+;1;KC_MF;
Cardamine resedifolia;4-5-B-M;car;res;+;1;KC_MF;
Leucanthemopsis alpina;4-5-B-M;leu;alp;1;1;KC_MF;
Luzula alpino-pilosa;4-5-B-M;luz;alp1;+;2;KC_MF;
Euphrasia minima;4-5-B-M;eup;min;+;3;KC_MF;
Salix herbacea;4-5-B-M;sal;her;+;1;KC_MF;
Poa laxa;4-5-B-M;poa;lax;+;4;KC_MF;
Soldanella pusilla;4-5-B-M;sol;pus;1;1;KC_MF;
Vaccinium myrtillus;1-3-A-C;vac;myr;2a;18;KC;
Vaccinium gaultherioides;1-3-A-C;vac;gau;2b;19;KC;
Nardus stricta;1-3-A-C;nar;str;2b;15;KC;
Trifolium alpinum;1-3-A-C;tri;alp;+;13;KC;
Anthoxanthum alpinum;1-3-A-C;ant;alp;+;18;KC;
Laserpitium halleri;1-3-A-C;las;hal;2a;1b;KC;
Briza media;1-3-A-C;bri;med;1a;14;KC;
Thesium alpinum;1-3-A-C;the;alp;r;8;KC;
Potentilla erecta;1-3-A-C;pot;ere;+;12;KC;
Calluna vulgaris;1-3-A-C;cal;vul;2a;17;KC;
Potentilla aurea;1-3-A-C;pot;aur;+;12;KC;
Achillea millefolium;1-3-A-C;ach;mil;+;10;KC;
Viola canina;1-3-A-C;vio;can;+;6;KC;
Euphrasia minima;1-3-A-C;eup;min;+;6;KC;
Lotus corniculatus;1-3-A-C;lot;cor;+;4;KC;
Agrostis tenuis;1-3-A-C;agr;ten;1;25;KC;
Gentianella campestris;1-3-A-C;gen;cam;+;15;KC;
Vaccinium vitis-idaea;1-3-A-C;vac;vit;+;4;KC;
Arnica montana;1-3-A-C;arn;mon;2a;3;KC;
Festuca nigrescens;1-3-A-C;fes;nig1;+;13;KC;
Scorzoneroides helvetica;1-3-A-C;sco;hel;+;4;KC;
Carex sempervirens;1-3-A-C;car;sem;1;10;KC;
Gentiana acaulis;1-3-A-C;gen;aca;+;5;KC;
Danthonia decumbens;1-3-A-C;dan;dec;1;14;KC;
Nigritella rhellicani;1-3-A-C;nig;rhe;1;15;KC;
Trifolium pratense subsp. pratense;2-1-A-M;tri;pra;2b;2;KC;
Geum montanum;2-1-A-M;geu;mon;2b;1;KC;
Ranunculus villarsii;2-1-A-M;ran;vil;1a;3;KC;
Festuca nigrescens;2-1-A-M;fes;nig1;3;7;KC;
Potentilla aurea;2-1-A-M;pot;aur;1a;2;KC;
Anthoxanthum alpinum;2-1-A-M;ant;alp;2a;9;KC;
Phleum alpinum agg.;2-1-A-M;phl;alp;2a;9;KC;
Rumex alpestris;2-1-A-M;rum;alp;+;2;KC;
Lotus corniculatus;2-1-A-M;lot;cor;+;3;KC;
Scorzoneroides helvetica;2-1-A-M;sco;hel;2a;2;KC;
Agrostis tenuis;2-1-A-M;agr;ten;+;5;KC;
Alchemilla vulgaris agg.;2-1-A-M;alc;vul;+;3;KC;
Agrostis agrostiflora;2-1-A-M;agr;agr;+;11;KC;
Soldanella pusilla;2-1-A-M;sol;pus;+;1;KC;
Luzula multiflora s. lat.;2-1-A-M;luz;mul;1b;6;KC;
Campanula scheuchzeri;2-1-A-M;cam;sch;+;4;KC;
Geum montanum;2-1-B-M;geu;mon;2a;2;KC;
Festuca nigrescens;2-1-B-M;fes;nig1;2b;10;KC;
Carlina acaulis subsp. acaulis;2-1-B-M;car;aca;+;5;KC;
Trifolium pratense subsp. pratense;2-1-B-M;tri;pra;2b;4;KC;
Potentilla aurea;2-1-B-M;pot;aur;1a;2;KC;
Anthoxanthum alpinum;2-1-B-M;ant;alp;2b;9;KC;
Leontodon hispidus;2-1-B-M;leo;his;1a;4;KC;
Luzula multiflora s. lat.;2-1-B-M;luz;mul;+;4;KC;
Alchemilla vulgaris agg.;2-1-B-M;alc;vul;+;3;KC;
Mutellina adonidifolia;2-1-B-M;mut;ado;+;3;KC;
Nardus stricta;2-1-B-M;nar;str;1a;5;KC;
Campanula scheuchzeri;2-1-B-M;cam;sch;+;3;KC;
Rumex alpestris;2-1-B-M;rum;alp;+;3;KC;
Trifolium badium;2-1-B-M;tri;bad;+;3;KC;
Agrostis tenuis;2-1-B-M;agr;ten;+;7;KC;
Ranunculus villarsii;2-1-B-M;ran;vil;1b;3;KC;
Scorzoneroides helvetica;2-1-B-M;sco;hel;+;2;KC;
Phleum alpinum agg.;2-1-B-M;phl;alp;1a;7;KC;
Laserpitium halleri;2-1-B-M;las;hal;+;4;KC;
Poa alpina;2-2-B-M;poa;alp;+;3;KC;
Lotus corniculatus;2-2-B-M;lot;cor;1a;6;KC;
Juncus jacquinii;2-2-B-M;jun;jac;+;7;KC;
Geum montanum;2-2-B-M;geu;mon;2b;2;KC;
Nardus stricta;2-2-B-M;nar;str;1b;8;KC;
Leontodon hispidus;2-2-B-M;leo;his;+;3;KC;
Anthoxanthum alpinum;2-2-B-M;ant;alp;2a;6;KC;
Potentilla aurea;2-2-B-M;pot;aur;2a;3;KC;
Festuca nigrescens;2-2-B-M;fes;nig1;3;7;KC;
Trifolium pratense subsp. pratense;2-2-B-M;tri;pra;2a;3;KC;
Scorzoneroides helvetica;2-2-B-M;sco;hel;2a;2;KC;
Soldanella pusilla;2-2-B-M;sol;pus;+;2;KC;
Mutellina adonidifolia;2-2-B-M;mut;ado;+;1;KC;
Ranunculus villarsii;2-2-B-M;ran;vil;1a;4;KC;
Rumex alpestris;2-2-B-M;rum;alp;+;2;KC;
Veronica alpina;2-2-B-M;ver;alp;+;4;KC;
Agrostis tenuis;2-2-B-M;agr;ten;+;6;KC;
Crepis aurea;2-2-B-M;cre;aur;+;4;KC;
Agrostis agrostiflora;2-2-B-M;agr;agr;+;8;KC;
Alchemilla vulgaris agg.;2-2-B-M;alc;vul;+;2;KC;
Phleum alpinum agg.;2-2-B-M;phl;alp;+;7;KC;
Luzula alpino-pilosa;2-2-B-M;luz;alp1;+;4;KC;
Geum montanum;2-2-A-M;geu;mon;2b;2;KC;
Nardus stricta;2-2-A-M;nar;str;1b;4;KC;
Trifolium pratense subsp. pratense;2-2-A-M;tri;pra;2a;2;KC;
Luzula alpino-pilosa;2-2-A-M;luz;alp1;+;3;KC;
Poa alpina;2-2-A-M;poa;alp;+;4;KC;
Ranunculus villarsii;2-2-A-M;ran;vil;1a;3;KC;
Scorzoneroides helvetica;2-2-A-M;sco;hel;1a;1;KC;
Potentilla aurea;2-2-A-M;pot;aur;1a;1;KC;
Leontodon hispidus;2-2-A-M;leo;his;+;1;KC;
Silene vulgaris;2-2-A-M;sil;vul;+;1;KC;
Mutellina adonidifolia;2-2-A-M;mut;ado;+;2;KC;Orig as Apiaceae, indet
Festuca nigrescens;2-2-A-M;fes;nig1;2b;5;KC;
Juncus jacquinii;2-2-A-M;jun;jac;+;12;KC;
Campanula barbata subsp. barbata;2-2-A-M;cam;bar;+;2;KC;
Anthoxanthum alpinum;2-2-A-M;ant;alp;+;5;KC;
Carex sempervirens;2-2-A-M;car;sem;+;6;KC;
Hypericum maculatum s. str.;2-2-A-M;hyp;mac;+;2;KC;
Phyteuma hemisphaericum;2-2-A-M;phy;hem;+;2;KC;
Mutellina adonidifolia;2-2-A-M;mut;ado;+;2;KC;
Festuca nigricans;2-4-B-C;fes;nig;2b;18;KC;
Calluna vulgaris;2-4-B-C;cal;vul;2a;8;KC;
Trifolium pratense subsp. pratense;2-4-B-C;tri;pra;+;7;KC;
Vaccinium vitis-idaea;2-4-B-C;vac;vit;2b;10;KC;
Potentilla erecta;2-4-B-C;pot;ere;+;7;KC;
Luzula multiflora s. lat.;2-4-B-C;luz;mul;+;8;KC;
Carlina acaulis subsp. acaulis;2-4-B-C;car;aca;+;10;KC;
Parnassia palustris;2-4-B-C;par;pal;+;6;KC;
Pulsatilla alpina subsp. apiifolia;2-4-B-C;pul;alp;1a;4;KC;
Scorzoneroides helvetica;2-4-B-C;sco;hel;+;3;KC;
Pedicularis tuberosa;2-4-B-C;ped;tub;+;5;KC;
Avenula versicolor;2-4-B-C;ave;ver;+;12;KC;
Antennaria dioica;2-4-B-C;ant;dio;r;2;KC;
Geum montanum;2-4-B-C;geu;mon;2a;2;KC;
Euphrasia officinalis subsp. Picta;2-4-B-C;eup;off;+;4;KC;Euphrasia picta cf
Molinia caerulea;2-4-B-C;mol;cae;1a;20;KC;
Trifolium alpinum;2-4-B-C;tri;alp;+;11;KC;orig as tri mon. prop error
Nardus stricta;2-4-B-C;nar;str;1a;10;KC;
Crepis aurea;2-4-B-C;cre;aur;+;6;KC;
Lotus corniculatus;2-4-B-C;lot;cor;+;6;KC;
Vaccinium myrtillus;2-4-B-C;vac;myr;1a;11;KC;
Hieracium pilosella agg.;2-4-B-C;hie;pil;+;2;KC;
Gentiana acaulis;2-4-B-C;gen;aca;+;2;KC;
Carex sempervirens;2-4-B-C;car;sem;1a;6;KC;
Scorzoneroides helvetica;2-4-B-C;sco;hel;+;2;KC;
Carlina acaulis subsp. acaulis;2-4-A-C;car;aca;1a;15;KC;
Calluna vulgaris;2-4-A-C;cal;vul;2a;14;KC;
Festuca nigricans;2-4-A-C;fes;nig;2a;14;KC;
Nardus stricta;2-4-A-C;nar;str;1a;7;KC;
Trifolium alpinum;2-4-A-C;tri;alp;2a;10;KC;
Carex sempervirens;2-4-A-C;car;sem;1a;18;KC;
Pulsatilla alpina subsp. apiifolia;2-4-A-C;pul;alp;+;6;KC;
Hieracium pilosella agg.;2-4-A-C;hie;pil;1b;2;KC;
Vaccinium myrtillus;2-4-A-C;vac;myr;2a;11;KC;
Vaccinium vitis-idaea;2-4-A-C;vac;vit;1b;7;KC;
Avenula versicolor;2-4-A-C;ave;ver;1a;10;KC;
Molinia caerulea;2-4-A-C;mol;cae;1a;16;KC;indet
Potentilla erecta;2-4-A-C;pot;ere;+;7;KC;
Selaginella selaginoides;2-4-A-C;sel;sel;+;7;KC;
Phyteuma betonicifolium;2-4-A-C;phy;bet;+;7;KC;
Geum montanum;2-4-A-C;geu;mon;2a;2;KC;
Euphrasia sp.;2-4-A-C;eup;spe;+;15;KC;orig as Eup picta
Luzula multiflora s. lat.;2-4-A-C;luz;mul;+;15;KC;
Juncus trifidus;2-4-A-C;jun;tri;+;19;KC;
Arnica montana;2-4-A-C;arn;mon;1a;1;KC;
Anthoxanthum alpinum;2-4-A-C;ant;alp;+;11;KC;
Potentilla aurea;2-4-A-C;pot;aur;+;5;KC;
Festuca nigricans;2-4-A-M;fes;nig;2b;8;KC;
Arnica montana;2-4-A-M;arn;mon;2a;2;KC;
Euphrasia minima;2-4-A-M;eup;min;p;5;KC;
Hieracium pilosella agg.;2-4-A-M;hie;pil;2a;3;KC;
Carlina acaulis subsp. acaulis;2-4-A-M;car;aca;p;7;KC;
Trifolium alpinum;2-4-A-M;tri;alp;2a;6;KC;
Carex sempervirens;2-4-A-M;car;sem;p;4;KC;
Pulsatilla alpina subsp. apiifolia;2-4-A-M;pul;alp;p;2;KC;
Lotus corniculatus;2-4-A-M;lot;cor;p;4;KC;
Nardus stricta;2-4-A-M;nar;str;p;4;KC;
Molinia caerulea;2-4-A-M;mol;cae;2a;8;KC;
Potentilla aurea;2-4-A-M;pot;aur;p;2;KC;
Gentiana acaulis;2-4-A-M;gen;aca;p;2;KC;
Vaccinium myrtillus;2-4-A-M;vac;myr;p;4;KC;
Geum montanum;2-4-A-M;geu;mon;1b;1;KC;
Potentilla erecta;2-4-A-M;pot;ere;p;3;KC;
Trifolium pratense subsp. pratense;2-4-A-M;tri;pra;p;3;KC;
Campanula barbata subsp. barbata;2-4-A-M;cam;bar;p;2;KC;
Campanula scheuchzeri;2-4-A-M;cam;sch;p;1;KC;
Anthoxanthum alpinum;2-4-A-M;ant;alp;p;6;KC;
Leontodon hispidus;2-4-A-M;leo;his;1b;1;KC;
Scorzoneroides helvetica;2-4-A-M;sco;hel;p;1;KC;
Molinia caerulea;2-4-B-M;mol;cae;1b;10;KC;
Vaccinium vitis-idaea;2-4-B-M;vac;vit;p;3;KC;
Hieracium pilosella agg.;2-4-B-M;hie;pil;1b;2;KC;
Geum montanum;2-4-B-M;geu;mon;1b;1;KC;
Festuca nigricans;2-4-B-M;fes;nig;2a;6;KC;
Potentilla erecta;2-4-B-M;pot;ere;p;2;KC;
Nardus stricta;2-4-B-M;nar;str;2b;7;KC;
Parnassia palustris;2-4-B-M;par;pal;p;3;KC;orig. Par vul, I think it was supposed to be Parnassia,though
Trifolium pratense subsp. pratense;2-4-B-M;tri;pra;p;3;KC;
Carlina acaulis subsp. acaulis;2-4-B-M;car;aca;2a;4;KC;
Pulsatilla alpina subsp. apiifolia;2-4-B-M;pul;alp;1a;2;KC;
Arnica montana;2-4-B-M;arn;mon;1a;2;KC;
Leontodon hispidus;2-4-B-M;leo;his;p;4;KC;
Pedicularis tuberosa;2-4-B-M;ped;tub;p;3;KC;
Trifolium alpinum;2-4-B-M;tri;alp;p;4;KC;
Carex sempervirens;2-4-B-M;car;sem;1a;4;KC;
Anthoxanthum alpinum;2-4-B-M;ant;alp;p;6;KC;
Campanula barbata subsp. barbata;2-4-B-M;cam;bar;p;1;KC;
Euphrasia officinalis subsp. Picta;2-4-B-M;eup;off;p;4;KC;
Gentiana acaulis;2-4-B-M;gen;aca;p;1;KC;
Lotus corniculatus;2-4-B-M;lot;cor;p;4;KC;
Molinia caerulea;2-5-A-C;mol;cae;1b;1;KC;
Arnica montana;2-5-A-C;arn;mon;1a;1;KC;
Calluna vulgaris;2-5-A-C;cal;vul;2b;12;KC;
Nardus stricta;2-5-A-C;nar;str;2a;12;KC;
Vaccinium myrtillus;2-5-A-C;vac;myr;1a;1;KC;
Gentiana acaulis;2-5-A-C;gen;aca;p;2;KC;
Juniperus communis subsp. nana;2-5-A-C;jun;com;p;5;KC;
Juncus trifidus;2-5-A-C;jun;tri;p;12;KC;
Vaccinium vitis-idaea;2-5-A-C;vac;vit;p;4;KC;
Carex sempervirens;2-5-A-C;car;sem;1a;9;KC;
Homogyne alpina;2-5-A-C;hom;alp;r;1;KC;
Potentilla erecta;2-5-A-C;pot;ere;p;3;KC;
Pedicularis tuberosa;2-5-A-C;ped;tub;p;3;KC;
Selaginella selaginoides;2-5-A-C;sel;sel;p;4;KC;
Pulsatilla alpina subsp. apiifolia;2-5-A-C;pul;alp;1b;2;KC;
Nardus stricta;2-5-A-M;nar;str;1b;7;KC;
Arnica montana;2-5-A-M;arn;mon;r;2;KC;
Vaccinium myrtillus;2-5-A-M;vac;myr;1a;3;KC;
Vaccinium vitis-idaea;2-5-A-M;vac;vit;1a;3;KC;
Potentilla erecta;2-5-A-M;pot;ere;p;3;KC;
Molinia caerulea;2-5-A-M;mol;cae;2a;7;KC;
Homogyne alpina;2-5-A-M;hom;alp;r;1;KC;
Gentiana acaulis;2-5-A-M;gen;aca;p;1;KC;
Antennaria dioica;2-5-A-M;ant;dio;r;1;KC;
Campanula barbata subsp. barbata;2-5-A-M;cam;bar;p;1;KC;
Pulsatilla alpina subsp. apiifolia;2-5-A-M;pul;alp;p;1;KC;
Geum montanum;2-5-A-M;geu;mon;p;1;KC;
Calluna vulgaris;2-5-A-M;cal;vul;1a;4;KC;
Scorzoneroides helvetica;2-5-A-M;sco;hel;p;1;KC;
Veronica bellidioides;2-5-A-M;ver;bel;r;1;KC;
Calluna vulgaris;2-5-B-C;cal;vul;3;15;KC;
Nardus stricta;2-5-B-C;nar;str;1b;8;KC;
Molinia caerulea;2-5-B-C;mol;cae;2a;17;KC;
Carex sempervirens;2-5-B-C;car;sem;1a;7;KC;
Vaccinium vitis-idaea;2-5-B-C;vac;vit;1a;7;KC;
Vaccinium myrtillus;2-5-B-C;vac;myr;2a;12;KC;
Gentiana acaulis;2-5-B-C;gen;aca;p;1;KC;
Pulsatilla alpina subsp. apiifolia;2-5-B-C;pul;alp;p;1;KC;
Geum montanum;2-5-B-C;geu;mon;p;3;KC;
Scorzoneroides helvetica;2-5-B-C;sco;hel;p;4;KC;
Potentilla aurea;2-5-B-C;pot;aur;1a;9;KC;
Pedicularis tuberosa;2-5-B-C;ped;tub;p;7;KC;
Arnica montana;2-5-B-C;arn;mon;p;3;KC;
Avenula versicolor;2-5-B-C;ave;ver;p;5;KC;
Nardus stricta;2-5-B-C;nar;str;1a;6;KC;
Arnica montana;2-5-B-C;arn;mon;1a;1;KC;
Molinia caerulea;2-5-B-C;mol;cae;1a;7;KC;
Scorzoneroides helvetica;2-5-B-C;sco;hel;p;1;KC;
Vaccinium vitis-idaea;2-5-B-C;vac;vit;p;5;KC;
Pulsatilla alpina subsp. apiifolia;2-5-B-C;pul;alp;p;2;KC;
Pedicularis tuberosa;2-5-B-C;ped;tub;1a;4;KC;
Avenula versicolor;2-5-B-C;ave;ver;p;2;KC;
Carex sempervirens;2-5-B-C;car;sem;1a;4;KC;
Gentiana acaulis;2-5-B-C;gen;aca;p;2;KC;
Vaccinium myrtillus;2-5-B-C;vac;myr;1a;4;KC;
Potentilla erecta;2-5-B-C;pot;ere;p;1;KC;
Diphasiastrum alpinum;2-5-B-C;dip;alp;p;2;KC;
Campanula barbata subsp. barbata;2-5-B-C;cam;bar;p;1;KC;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
